mode,predicted_pairs_count,true_pairs_count,TP,FP,FN,precision,labeled_precision,recall,F1,closed_world,warning
embed_only_baseline,633,20,16,617,4,0.02527646129541864,0.02527646129541864,0.8,0.04900459418070444,True,
sdnf_hybrid,26,20,18,8,2,0.6923076923076923,0.6923076923076923,0.9,0.7826086956521738,True,
no_ecnf,636,20,18,618,2,0.02830188679245283,0.02830188679245283,0.9,0.054878048780487805,True,
no_cmnf,26,20,18,8,2,0.6923076923076923,0.6923076923076923,0.9,0.7826086956521738,True,
no_dbnf,26,20,18,8,2,0.6923076923076923,0.6923076923076923,0.9,0.7826086956521738,True,
no_value_evidence,1,20,1,0,19,1.0,1.0,0.05,0.09523809523809523,True,
vss_only,1606,20,19,1587,1,0.011830635118306352,0.011830635118306352,0.95,0.023370233702337026,True,
shape_only,887,20,18,869,2,0.020293122886133032,0.020293122886133032,0.9,0.03969128996692393,True,
name_ontology_only,8,20,8,0,12,1.0,1.0,0.4,0.5714285714285715,True,
hybrid,26,20,18,8,2,0.6923076923076923,0.6923076923076923,0.9,0.7826086956521738,True,
