mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,CMNF_basis,bridge_rule_applied,bridge_rule_name,bridge_blocked_reason,bridge_safety_status,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,would_have_accepted_without_veto,veto_reason,is_in_true_pairs,is_in_negative_pairs,error_class
sdnf_hybrid,instd_amt,transaction_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,Mastercard.json,Payments Risk,Payments Risk,0.5819480419158936,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.991118311882019,0.0,0.697669545809428,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_amount_ontology_regex_bridge: borderline semantic similarity plus safe multi-signal evidence,payment_amount_ontology_regex_bridge: evidence_signal_count/aggregate support under bridge,same context,True,payment_amount_ontology_regex_bridge,,SAFE,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_amount_ontology_regex_bridge,sdnf_hybrid-000703,True,True,,True,False,TP
sdnf_hybrid,instd_amt,amount,amount,instd amount,amount <-> instd amount,ISO20022.json,Razorpay.json,Payments Risk,Payments Risk,0.5196070075035095,0.5,payment:amount,payment:amount,True,0.375,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.99858158826828,0.0,0.7075591206550599,4,BRIDGED_PASS,PASS,PASS,payment_amount_ontology_regex_bridge: borderline semantic similarity plus safe multi-signal evidence,signal_count >= m_min and aggregate >= gamma,same context,True,payment_amount_ontology_regex_bridge,,SAFE,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_amount_ontology_regex_bridge,sdnf_hybrid-000721,True,True,,True,False,TP
sdnf_hybrid,currency,currency,currency,currency,currency <-> currency,ISO20022.json,Plaid.json,Payments Risk,Payments Risk,0.7596325874328613,1.0,payment:currency,payment:currency,True,1.0,mixed,mixed,True,False,1.0,1.0,0.9038530349731446,7,CANONICAL_EQUIVALENCE_PASS,PASS,PASS,normalized canonical keys are identical,signal_count >= m_min and aggregate >= gamma,same context,True,payment_currency_code_bridge,,SAFE,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_currency_code_bridge,sdnf_hybrid-000754,True,True,,True,False,TP
sdnf_hybrid,primary_account_number,account_number,account number,primary account number,account number <-> primary account number,Mastercard.json,Plaid.json,Payments Risk,Payments Risk,0.7068344354629517,0.6666666666666666,payment:account,payment:account,True,0.6875,"^[0-9]{13,19}$","^[0-9]{6,19}$",False,True,0.9604064226150513,0.0,0.7931483920415243,6,PASS,PASS,PASS,cosine >= tau_aanf,signal_count >= m_min and aggregate >= gamma,same context,True,payment_account_number_regex_shape_bridge,,SAFE,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_account_number_regex_shape_bridge,sdnf_hybrid-000977,True,True,,True,False,TP
sdnf_hybrid,primary_account_number,pan,primary account number,primary account number,primary account number <-> primary account number,Mastercard.json,PPVisa.json,Payments Risk,Payments Risk,0.5274630188941956,1.0,payment:account,payment:account,True,1.0,"^[0-9]{13,19}$","^[0-9]{13,19}$",True,True,1.0000001192092896,1.0,0.8109852313995362,6,CANONICAL_EQUIVALENCE_PASS,PASS,PASS,normalized canonical keys are identical,signal_count >= m_min and aggregate >= gamma,same context,True,payment_account_number_regex_shape_bridge,,SAFE,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_account_number_regex_shape_bridge,sdnf_hybrid-000982,True,True,,True,False,TP
sdnf_hybrid,transaction_amount,transaction_amount,transaction amount,transaction amount,transaction amount <-> transaction amount,Mastercard.json,Plaid.json,Payments Risk,Payments Risk,0.809428870677948,1.0,payment:amount,payment:amount,True,1.0,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9869518280029297,0.25,0.9211619138717652,6,CANONICAL_EQUIVALENCE_PASS,PASS,PASS,normalized canonical keys are identical,signal_count >= m_min and aggregate >= gamma,same context,True,payment_amount_ontology_regex_bridge,,SAFE,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_amount_ontology_regex_bridge,sdnf_hybrid-001049,True,True,,True,False,TP
sdnf_hybrid,transaction_amount,amount,amount,transaction amount,amount <-> transaction amount,Mastercard.json,Razorpay.json,Payments Risk,Payments Risk,0.7147796750068665,0.5,payment:amount,payment:amount,True,0.7619047619047619,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9960594177246094,0.16666666666666666,0.7851237535476685,6,PASS,PASS,PASS,cosine >= tau_aanf,signal_count >= m_min and aggregate >= gamma,same context,True,payment_amount_ontology_regex_bridge,,SAFE,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_amount_ontology_regex_bridge,sdnf_hybrid-001057,True,True,,True,False,TP
sdnf_hybrid,amount,amount,amount,amount,amount <-> amount,Razorpay.json,Stripe.json,Payments Risk,Payments Risk,0.7723953127861023,1.0,payment:amount,payment:amount,True,1.0,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9962959289550781,0.6,0.9082173109054565,6,CANONICAL_EQUIVALENCE_PASS,PASS,PASS,normalized canonical keys are identical,signal_count >= m_min and aggregate >= gamma,same context,True,payment_amount_ontology_regex_bridge,,SAFE,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_amount_ontology_regex_bridge,sdnf_hybrid-001488,True,True,,True,False,TP
sdnf_hybrid,account_number,account_number,account number,account number,account number <-> account number,Plaid.json,Plaid.json,Payments Risk,Payments Risk,1.0000001192092896,1.0,payment:account,payment:account,True,1.0,"^[0-9]{6,19}$","^[0-9]{6,19}$",True,True,1.0000001192092896,1.0,1.0000000715255737,7,CANONICAL_EQUIVALENCE_PASS,PASS,PASS,normalized canonical keys are identical,signal_count >= m_min and aggregate >= gamma,same context,True,payment_account_number_regex_shape_bridge,,SAFE,GROUND_TRUTH_FORCED_CANDIDATE,MERGE,AANF/ECNF/CMNF passed with bridge: payment_account_number_regex_shape_bridge,sdnf_hybrid-001605,True,True,,True,False,TP
no_ecnf,instd_amt,transaction_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,Mastercard.json,Payments Risk,Payments Risk,0.5819480419158936,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.991118311882019,0.0,0.697669545809428,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_amount_ontology_regex_bridge: borderline semantic similarity plus safe multi-signal evidence,payment_amount_ontology_regex_bridge: evidence_signal_count/aggregate support under bridge,same context,True,payment_amount_ontology_regex_bridge,,SAFE,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000703,True,True,,True,False,TP
