mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,CMNF_basis,bridge_rule_applied,bridge_rule_name,bridge_blocked_reason,bridge_safety_status,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,would_have_accepted_without_veto,veto_reason,is_in_true_pairs,is_in_negative_pairs,error_class
embed_only_baseline,instd_amt,transaction_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,Mastercard.json,Payments Risk,Payments Risk,0.5819480419158936,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.991118311882019,0.0,0.697669545809428,3,FAIL,FAIL,PASS,cosine below tau_aanf or role conflict,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,embedding below threshold or role conflict,embed_only_baseline-000703,False,False,,True,False,FN_CANDIDATE
embed_only_baseline,instd_amt,amount,amount,instd amount,amount <-> instd amount,ISO20022.json,Razorpay.json,Payments Risk,Payments Risk,0.5196070075035095,0.5,payment:amount,payment:amount,True,0.375,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.99858158826828,0.0,0.7075591206550599,4,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,embedding below threshold or role conflict,embed_only_baseline-000721,False,False,,True,False,FN_CANDIDATE
embed_only_baseline,primary_account_number,pan,primary account number,primary account number,primary account number <-> primary account number,Mastercard.json,PPVisa.json,Payments Risk,Payments Risk,0.5274630188941956,1.0,payment:account,payment:account,True,1.0,"^[0-9]{13,19}$","^[0-9]{13,19}$",True,True,1.0000001192092896,1.0,0.8109852313995362,6,CANONICAL_EQUIVALENCE_PASS,PASS,PASS,normalized canonical keys are identical,signal_count >= m_min and aggregate >= gamma,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,embedding below threshold or role conflict,embed_only_baseline-000982,False,False,,True,False,FN_CANDIDATE
embed_only_baseline,status,txn_status,status,transaction status,status <-> transaction status,Razorpay.json,UPI.json,Payments Risk,Payments Risk,0.5960021018981934,0.5,payment:status,payment:status,True,1.0,mixed,mixed,True,False,0.9998963475227356,0.0,0.7383801102638246,5,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,embedding below threshold or role conflict,embed_only_baseline-001559,False,False,,True,False,FN_CANDIDATE
sdnf_hybrid,created_at,created,created,created at,created <-> created at,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.7022457122802734,0.5,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9972334504127502,0.0,0.5803449749946594,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,sdnf_hybrid-000603,False,False,,True,False,FN_CANDIDATE
sdnf_hybrid,status,txn_status,status,transaction status,status <-> transaction status,Razorpay.json,UPI.json,Payments Risk,Payments Risk,0.5960021018981934,0.5,payment:status,payment:status,True,1.0,mixed,mixed,True,False,0.9998963475227356,0.0,0.7383801102638246,5,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,AANF failed,sdnf_hybrid-001559,False,False,,True,False,FN_CANDIDATE
no_ecnf,status,txn_status,status,transaction status,status <-> transaction status,Razorpay.json,UPI.json,Payments Risk,Payments Risk,0.5960021018981934,0.5,payment:status,payment:status,True,1.0,mixed,mixed,True,False,0.9998963475227356,0.0,0.7383801102638246,5,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,AANF or CMNF failed,no_ecnf-001559,False,False,,True,False,FN_CANDIDATE
no_cmnf,created_at,created,created,created at,created <-> created at,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.7022457122802734,0.5,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9972334504127502,0.0,0.5803449749946594,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,AANF or ECNF failed,no_cmnf-000603,False,False,,True,False,FN_CANDIDATE
no_cmnf,status,txn_status,status,transaction status,status <-> transaction status,Razorpay.json,UPI.json,Payments Risk,Payments Risk,0.5960021018981934,0.5,payment:status,payment:status,True,1.0,mixed,mixed,True,False,0.9998963475227356,0.0,0.7383801102638246,5,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,AANF or ECNF failed,no_cmnf-001559,False,False,,True,False,FN_CANDIDATE
no_dbnf,created_at,created,created,created at,created <-> created at,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.7022457122802734,0.5,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9972334504127502,0.0,0.5803449749946594,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_dbnf-000603,False,False,,True,False,FN_CANDIDATE
no_dbnf,status,txn_status,status,transaction status,status <-> transaction status,Razorpay.json,UPI.json,Payments Risk,Payments Risk,0.5960021018981934,0.5,payment:status,payment:status,True,1.0,mixed,mixed,True,False,0.9998963475227356,0.0,0.7383801102638246,5,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,AANF failed,no_dbnf-001559,False,False,,True,False,FN_CANDIDATE
no_value_evidence,//comment,description,comment,description,comment <-> description,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9084858894348145,0.0,text:description,text:description,True,,mixed,mixed,False,False,,,0.6619919368198939,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-000008,False,False,,True,False,FN_CANDIDATE
no_value_evidence,//comment,_comment,comment,comment,comment <-> comment,INAmex.json,ISO20022.json,Payments Risk,Payments Risk,0.7696038484573364,1.0,text:description,text:description,True,,mixed,mixed,False,False,,,0.8683450562613351,3,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-000011,False,False,,True,False,FN_CANDIDATE
no_value_evidence,created_at,created_at,created at,created at,created at <-> created at,INAmex.json,Razorpay.json,Payments Risk,Payments Risk,0.7606470584869385,1.0,,,False,,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.7203697477068219,2,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-000597,False,False,,True,False,FN_CANDIDATE
no_value_evidence,created_at,created,created,created at,created <-> created at,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.7022457122802734,0.5,,,False,,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.544140407017299,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-000603,False,False,,True,False,FN_CANDIDATE
no_value_evidence,instd_amt,transaction_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,Mastercard.json,Payments Risk,Payments Risk,0.5819480419158936,0.3333333333333333,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.5706369763328916,1,FAIL,FAIL,PASS,cosine below tau_aanf or role conflict,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,AANF failed; ECNF failed,no_value_evidence-000703,False,False,,True,False,FN_CANDIDATE
no_value_evidence,instd_amt,amount,amount,instd amount,amount <-> instd amount,ISO20022.json,Razorpay.json,Payments Risk,Payments Risk,0.5196070075035095,0.5,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.5826325757162911,2,FAIL,FAIL,PASS,cosine below tau_aanf or role conflict,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,AANF failed; ECNF failed,no_value_evidence-000721,False,False,,True,False,FN_CANDIDATE
no_value_evidence,primary_account_number,account_number,account number,primary account number,account number <-> primary account number,Mastercard.json,Plaid.json,Payments Risk,Payments Risk,0.7068344354629517,0.6666666666666666,payment:account,payment:account,True,,"^[0-9]{13,19}$","^[0-9]{6,19}$",False,False,,,0.7372387250264485,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-000977,False,False,,True,False,FN_CANDIDATE
no_value_evidence,primary_account_number,pan,primary account number,primary account number,primary account number <-> primary account number,Mastercard.json,PPVisa.json,Payments Risk,Payments Risk,0.5274630188941956,1.0,payment:account,payment:account,True,,"^[0-9]{13,19}$","^[0-9]{13,19}$",False,False,,,0.7299788679395403,2,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-000982,False,False,,True,False,FN_CANDIDATE
no_value_evidence,transaction_amount,transaction_amount,transaction amount,transaction amount,transaction amount <-> transaction amount,Mastercard.json,Plaid.json,Payments Risk,Payments Risk,0.809428870677948,1.0,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.8911022118159702,3,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-001049,False,False,,True,False,FN_CANDIDATE
no_value_evidence,transaction_amount,amount,amount,transaction amount,amount <-> transaction amount,Mastercard.json,Razorpay.json,Payments Risk,Payments Risk,0.7147796750068665,0.5,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.6941598142896379,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-001057,False,False,,True,False,FN_CANDIDATE
no_value_evidence,transaction_id,txn_id,transaction identifier,transaction identifier,transaction identifier <-> transaction identifier,Plaid.json,UPI.json,Payments Risk,Payments Risk,0.7228946089744568,1.0,identifier,identifier,True,,mixed,mixed,False,False,,,0.8416540622711182,3,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-001346,False,False,,True,False,FN_CANDIDATE
no_value_evidence,amount,amount,amount,amount,amount <-> amount,Razorpay.json,Stripe.json,Payments Risk,Payments Risk,0.7723953127861023,1.0,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.8699401787349155,3,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-001488,False,False,,True,False,FN_CANDIDATE
no_value_evidence,method,payment_method,method,payment method,method <-> payment method,Razorpay.json,Stripe.json,Payments Risk,Payments Risk,0.6727300882339478,0.5,payment:method,payment:method,True,,mixed,mixed,False,False,,,0.6701314789908273,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-001504,False,False,,True,False,FN_CANDIDATE
no_value_evidence,vpa,vpa,vpa,vpa,vpa <-> vpa,Razorpay.json,UPI.json,Payments Risk,Payments Risk,0.8184410929679871,1.0,,,False,,mixed,mixed,False,False,,,0.7533949102674211,2,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-001521,False,False,,True,False,FN_CANDIDATE
no_value_evidence,vpa,payee_vpa,payee vpa,vpa,payee vpa <-> vpa,Razorpay.json,UPI.json,Payments Risk,Payments Risk,0.7653576731681824,0.5,,party:name,False,,mixed,mixed,False,False,,,0.5802043846675328,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,ROLE_SENSITIVE_BRIDGE_BLOCKED,BLOCKED,standard_pairwise,DEFER,ECNF failed; ROLE_SENSITIVE_BRIDGE_BLOCKED,no_value_evidence-001523,False,False,,True,False,FN_CANDIDATE
no_value_evidence,status,status,status,status,status <-> status,Razorpay.json,Stripe.json,Payments Risk,Payments Risk,0.7339268922805786,1.0,payment:status,payment:status,True,,mixed,mixed,False,False,,,0.8479582241603305,3,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,ECNF failed,no_value_evidence-001555,False,False,,True,False,FN_CANDIDATE
no_value_evidence,status,txn_status,status,transaction status,status <-> transaction status,Razorpay.json,UPI.json,Payments Risk,Payments Risk,0.5960021018981934,0.5,payment:status,payment:status,True,,mixed,mixed,False,False,,,0.6262869153703962,2,FAIL,FAIL,PASS,cosine below tau_aanf or role conflict,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,AANF failed; ECNF failed,no_value_evidence-001559,False,False,,True,False,FN_CANDIDATE
no_value_evidence,account_number,account_number,account number,account number,account number <-> account number,Plaid.json,Plaid.json,Payments Risk,Payments Risk,1.0000001192092896,1.0,payment:account,payment:account,True,,"^[0-9]{6,19}$","^[0-9]{6,19}$",False,False,,,1.000000068119594,3,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,GROUND_TRUTH_FORCED_CANDIDATE,DEFER,ECNF failed,no_value_evidence-001605,False,False,,True,False,FN_CANDIDATE
shape_only,created_at,created_at,created at,created at,created at <-> created at,INAmex.json,Razorpay.json,Payments Risk,Payments Risk,0.7606470584869385,1.0,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9972334504127502,0.0,0.0,4,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,limited evidence below gamma,shape_only-000597,False,False,,True,False,FN_CANDIDATE
shape_only,created_at,created,created,created at,created <-> created at,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.7022457122802734,0.5,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9972334504127502,0.0,0.0,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,limited evidence below gamma,shape_only-000603,False,False,,True,False,FN_CANDIDATE
name_ontology_only,//comment,description,comment,description,comment <-> description,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9084858894348145,0.0,text:description,text:description,True,0.16666666666666666,mixed,mixed,True,False,0.9778152108192444,0.0,0.3333333333333333,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,limited evidence below gamma,name_ontology_only-000008,False,False,,True,False,FN_CANDIDATE
name_ontology_only,created_at,created_at,created at,created at,created at <-> created at,INAmex.json,Razorpay.json,Payments Risk,Payments Risk,0.7606470584869385,1.0,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9972334504127502,0.0,0.6666666666666666,4,CANONICAL_EQUIVALENCE_PASS,FAIL,PASS,normalized canonical keys are identical,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,limited evidence below gamma,name_ontology_only-000597,False,False,,True,False,FN_CANDIDATE
name_ontology_only,created_at,created,created,created at,created <-> created at,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.7022457122802734,0.5,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9972334504127502,0.0,0.3333333333333333,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,limited evidence below gamma,name_ontology_only-000603,False,False,,True,False,FN_CANDIDATE
name_ontology_only,instd_amt,transaction_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,Mastercard.json,Payments Risk,Payments Risk,0.5819480419158936,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.991118311882019,0.0,0.5555555555555556,3,FAIL,FAIL,PASS,cosine below tau_aanf or role conflict,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,limited evidence below gamma,name_ontology_only-000703,False,False,,True,False,FN_CANDIDATE
name_ontology_only,instd_amt,amount,amount,instd amount,amount <-> instd amount,ISO20022.json,Razorpay.json,Payments Risk,Payments Risk,0.5196070075035095,0.5,payment:amount,payment:amount,True,0.375,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.99858158826828,0.0,0.6666666666666666,4,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_amount_ontology_regex_bridge: borderline semantic similarity plus safe multi-signal evidence,payment_amount_ontology_regex_bridge: evidence_signal_count/aggregate support under bridge,same context,True,payment_amount_ontology_regex_bridge,,SAFE,standard_pairwise,DEFER,limited evidence below gamma,name_ontology_only-000721,False,False,,True,False,FN_CANDIDATE
name_ontology_only,transaction_amount,amount,amount,transaction amount,amount <-> transaction amount,Mastercard.json,Razorpay.json,Payments Risk,Payments Risk,0.7147796750068665,0.5,payment:amount,payment:amount,True,0.7619047619047619,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9960594177246094,0.16666666666666666,0.6666666666666666,6,PASS,BRIDGED_PASS,PASS,cosine >= tau_aanf,payment_amount_ontology_regex_bridge: evidence_signal_count/aggregate support under bridge,same context,True,payment_amount_ontology_regex_bridge,,SAFE,standard_pairwise,DEFER,limited evidence below gamma,name_ontology_only-001057,False,False,,True,False,FN_CANDIDATE
name_ontology_only,method,payment_method,method,payment method,method <-> payment method,Razorpay.json,Stripe.json,Payments Risk,Payments Risk,0.6727300882339478,0.5,payment:method,payment:method,True,0.16666666666666666,mixed,mixed,True,False,0.8690470457077026,0.0,0.6666666666666666,5,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,DEFER,limited evidence below gamma,name_ontology_only-001504,False,False,,True,False,FN_CANDIDATE
