mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,final_decision,reason,lineage_id,is_predicted_merge,is_in_true_pairs,is_in_negative_pairs,error_class,found_as_candidate,reason_for_deferral,suggested_review_label
embed_only_baseline,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,not generated as candidate,MISSED_TRUE_ALIAS
embed_only_baseline,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9978572130203247,0.0,0.709250275293986,3,FAIL,FAIL,PASS,DEFER,embedding below AANF threshold or role conflict,embed_only_baseline-001076,False,True,False,FN_CANDIDATE,True,embedding below AANF threshold or role conflict,MISSED_TRUE_ALIAS
sdnf_hybrid,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,not generated as candidate,MISSED_TRUE_ALIAS
sdnf_hybrid,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9978572130203247,0.0,0.709250275293986,3,FAIL,FAIL,PASS,DEFER,AANF failed; ECNF failed,sdnf_hybrid-001076,False,True,False,FN_CANDIDATE,True,AANF failed; ECNF failed,MISSED_TRUE_ALIAS
no_ecnf,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,not generated as candidate,MISSED_TRUE_ALIAS
no_ecnf,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9978572130203247,0.0,0.709250275293986,3,FAIL,FAIL,PASS,DEFER,AANF or CMNF failed,no_ecnf-001076,False,True,False,FN_CANDIDATE,True,AANF or CMNF failed,MISSED_TRUE_ALIAS
no_cmnf,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,not generated as candidate,MISSED_TRUE_ALIAS
no_cmnf,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9978572130203247,0.0,0.709250275293986,3,FAIL,FAIL,PASS,DEFER,AANF or ECNF failed,no_cmnf-001076,False,True,False,FN_CANDIDATE,True,AANF or ECNF failed,MISSED_TRUE_ALIAS
no_dbnf,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,not generated as candidate,MISSED_TRUE_ALIAS
no_dbnf,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9978572130203247,0.0,0.709250275293986,3,FAIL,FAIL,PASS,DEFER,AANF failed; ECNF failed,no_dbnf-001076,False,True,False,FN_CANDIDATE,True,AANF failed; ECNF failed,MISSED_TRUE_ALIAS
no_value_evidence,account_number,pan,account number,primary account number,account number <-> primary account number,Plaid.json,PPVisa.json,Payments Risk,Payments Risk,0.5975126028060913,0.6666666666666666,payment:account,payment:account,True,,"^[0-9]{6,19}$","^[0-9]{13,19}$",False,False,,,0.6747691063653855,2,FAIL,FAIL,PASS,DEFER,AANF failed; ECNF failed,no_value_evidence-001954,False,True,False,FN_CANDIDATE,True,AANF failed; ECNF failed,MISSED_TRUE_ALIAS
no_value_evidence,instd_amt,amount,amount,instd amount,amount <-> instd amount,ISO20022.json,Stripe.json,Payments Risk,Payments Risk,0.6570768356323242,0.5,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.6611867632184709,3,PASS,FAIL,PASS,DEFER,ECNF failed,no_value_evidence-001063,False,True,False,FN_CANDIDATE,True,ECNF failed,MISSED_TRUE_ALIAS
no_value_evidence,amount,txn_amount,amount,transaction amount,amount <-> transaction amount,Stripe.json,UPI.json,Payments Risk,Payments Risk,0.8065359592437744,0.5,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.7465919767107282,3,PASS,FAIL,PASS,DEFER,ECNF failed,no_value_evidence-002726,False,True,False,FN_CANDIDATE,True,ECNF failed,MISSED_TRUE_ALIAS
no_value_evidence,description,_comment,comment,description,comment <-> description,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.7838767766952515,0.0,text:description,text:description,True,,mixed,mixed,False,False,,,0.5907867295401437,2,PASS,FAIL,PASS,DEFER,ECNF failed,no_value_evidence-000696,False,True,False,FN_CANDIDATE,True,ECNF failed,MISSED_TRUE_ALIAS
no_value_evidence,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,not generated as candidate,MISSED_TRUE_ALIAS
no_value_evidence,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.5852554752713157,1,FAIL,FAIL,PASS,DEFER,AANF failed; ECNF failed,no_value_evidence-001076,False,True,False,FN_CANDIDATE,True,AANF failed; ECNF failed,MISSED_TRUE_ALIAS
vss_only,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,not generated as candidate,MISSED_TRUE_ALIAS
shape_only,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,not generated as candidate,MISSED_TRUE_ALIAS
name_ontology_only,instd_amt,amount,amount,instd amount,amount <-> instd amount,ISO20022.json,Stripe.json,Payments Risk,Payments Risk,0.6570768356323242,0.5,payment:amount,payment:amount,True,0.375,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9921519160270691,0.0,0.6666666666666666,5,PASS,FAIL,PASS,DEFER,limited evidence below gamma,name_ontology_only-001063,False,True,False,FN_CANDIDATE,True,limited evidence below gamma,MISSED_TRUE_ALIAS
