mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,bridge_rule_applied,bridge_rule_name,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,is_in_true_pairs,is_in_negative_pairs,error_class,found_as_candidate,root_cause
embed_only_baseline,account_number,pan,account number,primary account number,account number <-> primary account number,Plaid.json,PPVisa.json,Payments Risk,Payments Risk,0.5975126028060913,0.6666666666666666,payment:account,payment:account,True,0.6875,"^[0-9]{6,19}$","^[0-9]{13,19}$",False,True,0.9604064226150513,0.75,0.7494196589787802,6,BRIDGED_PASS,PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,signal_count >= m_min and aggregate >= gamma,True,payment_account_number_regex_shape_bridge,standard_pairwise,DEFER,embedding below AANF threshold or role conflict,embed_only_baseline-000977,False,True,False,FN_CANDIDATE,True,BRIDGE_AVAILABLE_BUT_DISABLED
embed_only_baseline,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,not generated as candidate,,,,,,False,NOT_GENERATED_AS_CANDIDATE
embed_only_baseline,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9978572130203247,0.0,0.709250275293986,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_amount_ontology_regex_bridge: borderline cosine plus ontology/regex/value evidence,payment_amount_ontology_regex_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_amount_ontology_regex_bridge,standard_pairwise,DEFER,embedding below AANF threshold or role conflict,embed_only_baseline-000703,False,True,False,FN_CANDIDATE,True,BRIDGE_AVAILABLE_BUT_DISABLED
embed_only_baseline,primary_account_number,pan,primary account number,primary account number,primary account number <-> primary account number,Mastercard.json,PPVisa.json,Payments Risk,Payments Risk,0.5786705613136292,1.0,payment:account,payment:account,True,1.0,"^[0-9]{13,19}$","^[0-9]{13,19}$",True,True,1.0000001192092896,1.0,0.8314682483673096,6,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,False,,standard_pairwise,DEFER,embedding below AANF threshold or role conflict,embed_only_baseline-000982,False,True,False,FN_CANDIDATE,True,AANF_FAILED
sdnf_hybrid,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,not generated as candidate,,,,,,False,NOT_GENERATED_AS_CANDIDATE
sdnf_hybrid,primary_account_number,pan,primary account number,primary account number,primary account number <-> primary account number,Mastercard.json,PPVisa.json,Payments Risk,Payments Risk,0.5786705613136292,1.0,payment:account,payment:account,True,1.0,"^[0-9]{13,19}$","^[0-9]{13,19}$",True,True,1.0000001192092896,1.0,0.8314682483673096,6,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,False,,standard_pairwise,DEFER,AANF failed,sdnf_hybrid-000982,False,True,False,FN_CANDIDATE,True,AANF_FAILED
no_ecnf,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,not generated as candidate,,,,,,False,NOT_GENERATED_AS_CANDIDATE
no_ecnf,primary_account_number,pan,primary account number,primary account number,primary account number <-> primary account number,Mastercard.json,PPVisa.json,Payments Risk,Payments Risk,0.5786705613136292,1.0,payment:account,payment:account,True,1.0,"^[0-9]{13,19}$","^[0-9]{13,19}$",True,True,1.0000001192092896,1.0,0.8314682483673096,6,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,False,,standard_pairwise,DEFER,AANF or CMNF failed,no_ecnf-000982,False,True,False,FN_CANDIDATE,True,AANF_FAILED
no_cmnf,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,not generated as candidate,,,,,,False,NOT_GENERATED_AS_CANDIDATE
no_cmnf,primary_account_number,pan,primary account number,primary account number,primary account number <-> primary account number,Mastercard.json,PPVisa.json,Payments Risk,Payments Risk,0.5786705613136292,1.0,payment:account,payment:account,True,1.0,"^[0-9]{13,19}$","^[0-9]{13,19}$",True,True,1.0000001192092896,1.0,0.8314682483673096,6,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,False,,standard_pairwise,DEFER,AANF or ECNF failed,no_cmnf-000982,False,True,False,FN_CANDIDATE,True,AANF_FAILED
no_dbnf,,,currency,iso currency code,currency <-> iso currency code,,,,,,,,,,,,,,,,,,,,,,,,,,,,not generated as candidate,,,,,,False,NOT_GENERATED_AS_CANDIDATE
no_dbnf,primary_account_number,pan,primary account number,primary account number,primary account number <-> primary account number,Mastercard.json,PPVisa.json,Payments Risk,Payments Risk,0.5786705613136292,1.0,payment:account,payment:account,True,1.0,"^[0-9]{13,19}$","^[0-9]{13,19}$",True,True,1.0000001192092896,1.0,0.8314682483673096,6,FAIL,PASS,PASS,cosine below tau_aanf or role conflict,signal_count >= m_min and aggregate >= gamma,False,,standard_pairwise,DEFER,AANF failed,no_dbnf-000982,False,True,False,FN_CANDIDATE,True,AANF_FAILED
no_value_evidence,account_number,account_number,account number,account number,account number <-> account number,Plaid.json,Plaid.json,Payments Risk,Payments Risk,1.0,1.0,payment:account,payment:account,True,,"^[0-9]{6,19}$","^[0-9]{6,19}$",False,False,,,1.0,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,GROUND_TRUTH_FORCED_CANDIDATE,DEFER,ECNF failed,no_value_evidence-001605,False,True,False,FN_CANDIDATE,True,ECNF_FAILED
no_value_evidence,account_number,pan,account number,primary account number,account number <-> primary account number,Plaid.json,PPVisa.json,Payments Risk,Payments Risk,0.5975126028060913,0.6666666666666666,payment:account,payment:account,True,,"^[0-9]{6,19}$","^[0-9]{13,19}$",False,False,,,0.6747691063653855,2,FAIL,FAIL,PASS,cosine below tau_aanf or role conflict,insufficient evidence signal count or aggregate score,False,,standard_pairwise,DEFER,AANF failed; ECNF failed,no_value_evidence-000977,False,True,False,FN_CANDIDATE,True,AANF_FAILED
no_value_evidence,amount,amount,amount,amount,amount <-> amount,Razorpay.json,Stripe.json,Payments Risk,Payments Risk,1.0,1.0,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,1.0,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,DEFER,ECNF failed,no_value_evidence-001488,False,True,False,FN_CANDIDATE,True,ECNF_FAILED
no_value_evidence,instd_amt,amount,amount,instd amount,amount <-> instd amount,ISO20022.json,Stripe.json,Payments Risk,Payments Risk,0.6570768356323242,0.5,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.6611867632184709,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,DEFER,ECNF failed,no_value_evidence-000721,False,True,False,FN_CANDIDATE,True,ECNF_FAILED
no_value_evidence,amount,txn_amount,amount,transaction amount,amount <-> transaction amount,Stripe.json,UPI.json,Payments Risk,Payments Risk,0.8065359592437744,0.5,payment:amount,payment:amount,True,,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,,,0.7465919767107282,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,DEFER,ECNF failed,no_value_evidence-001057,False,True,False,FN_CANDIDATE,True,ECNF_FAILED
no_value_evidence,_comment,_comment,comment,comment,comment <-> comment,Stripe.json,UPI.json,Payments Risk,Payments Risk,1.0,1.0,text:description,text:description,True,,mixed,mixed,False,False,,,1.0,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,DEFER,ECNF failed,no_value_evidence-000011,False,True,False,FN_CANDIDATE,True,ECNF_FAILED
