fn_id,source_field,target_field,semantic_score,context_signature,model_reason,human_decision (ACCEPT/REJECT/HOLD),human_comments,record_type
FN_0001,account_identifier,plaid_account_identifier,,account_identifier,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0002,account_number,bank_account_number,,bank_account_number,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0003,account_number,plaid_account_number,,bank_account_number,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0004,account_type,plaid_account_type,,account_type,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0005,account_type,subtype,,account_type,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0006,account_type,type,,account_type,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0007,addr,razorpay_virtual_payment_address,,virtual_payment_address,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0008,addr,upi_virtual_payment_address,,virtual_payment_address,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0009,addr,virtual_payment_address,,virtual_payment_address,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0010,amount,instructed_amount,,payment_amount,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0011,amount,iso20022_instructed_amount,,payment_amount,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0012,amount,mastercard_transaction_amount,,payment_amount,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0013,amount,payment_amount,,payment_amount,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0014,amount,plaid_transaction_amount,,payment_amount,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0015,amount,razorpay_amount,,payment_amount,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0016,amount,stripe_amount,,payment_amount,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0017,amount,transaction_amount,,payment_amount,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0018,amount,upi_transaction_amount,,payment_amount,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0019,balance,balance_current,,current_balance,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0020,balance,current_balance,,current_balance,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0021,balance,plaid_balance_current,,current_balance,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0022,balance_current,current_balance,,current_balance,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0023,balance_current,plaid_balance_current,,current_balance,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0024,bank_account_number,plaid_account_number,,bank_account_number,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0025,beneficiary_virtual_payment_address,payee_addr,,payee_vpa,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0026,beneficiary_virtual_payment_address,payee_virtual_payment_address,,payee_vpa,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0027,beneficiary_virtual_payment_address,upi_payee_virtual_payment_address,,payee_vpa,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0028,brand,card_brand,,card_brand,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0029,brand,network,,card_brand,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0030,brand,stripe_card_brand,,card_brand,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0031,card_acceptor_identifier,card_acceptor_identifier_code,,card_acceptor_identifier,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0032,card_acceptor_identifier,mastercard_card_acceptor_identifier,,card_acceptor_identifier,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0033,card_acceptor_identifier_code,mastercard_card_acceptor_identifier,,card_acceptor_identifier,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0034,card_brand,network,,card_brand,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0035,card_brand,stripe_card_brand,,card_brand,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0036,card_expiration_date,expiration_date,,card_expiration_date,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0037,card_expiration_date,inamex_expiration_date,,card_expiration_date,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0038,card_expiration_date,ppvisa_expiration_date,,card_expiration_date,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
FN_0039,card_holder_name,cardholder,,cardholder_name,FN derived from GT (slug-normalized) not present in ACCEPT_MERGE predictions (v18_1),,,FN
