mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,CMNF_basis,bridge_rule_applied,bridge_rule_name,bridge_blocked_reason,bridge_safety_status,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,would_have_accepted_without_veto,veto_reason,is_in_true_pairs,is_in_negative_pairs,error_class,semantic_family
embed_only_baseline,//comment,//source,comment,source,comment <-> source,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9243003129959106,0.0,text:description,,False,1.0,mixed,mixed,True,False,0.9999923706054688,0.0,0.6697185993194581,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000000,True,True,,False,False,FP,text:description|
embed_only_baseline,//comment,schema_id,comment,schema identifier,comment <-> schema identifier,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.7691370248794556,0.0,text:description,identifier,False,1.0,mixed,mixed,True,False,0.9973974227905273,0.0,0.6071342945098878,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000001,True,True,,False,False,FP,text:description|identifier
embed_only_baseline,//comment,entity,comment,entity,comment <-> entity,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8345884084701538,0.0,text:description,,False,1.0,mixed,mixed,True,False,0.9978918433189392,0.0,0.6334137320518494,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000002,True,True,,False,False,FP,text:description|
embed_only_baseline,//comment,version,comment,version,comment <-> version,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8496285676956177,0.0,text:description,,False,1.0,mixed,mixed,True,False,0.987834632396698,0.0,0.6374183535575867,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000003,True,True,,False,False,FP,text:description|
embed_only_baseline,//comment,name,comment,name,comment <-> name,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8902446031570435,0.0,text:description,party:name,False,0.25,mixed,mixed,True,False,0.9805307984352112,0.0,0.6522040009498596,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000004,True,True,,False,False,FP,text:description|party:name
embed_only_baseline,//comment,type,comment,type,comment <-> type,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8748037815093994,0.0,text:description,payment:account_type,False,0.25,mixed,mixed,True,False,0.9957898259162903,0.0,0.6490794777870179,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000005,True,True,,False,False,FP,text:description|payment:account_type
embed_only_baseline,//comment,aliases,aliases,comment,aliases <-> comment,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8163695335388184,0.0,text:description,,False,0.16666666666666666,mixed,mixed,True,False,0.8410955667495728,0.0,0.594766926765442,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000006,True,True,,False,False,FP,text:description|
embed_only_baseline,//comment,pattern,comment,pattern,comment <-> pattern,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8438153266906738,0.0,text:description,,False,0.3333333333333333,mixed,mixed,True,False,0.9492796063423157,0.0,0.6273820519447327,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000007,True,True,,False,False,FP,text:description|
embed_only_baseline,//comment,tags,comment,tags,comment <-> tags,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8606162667274475,0.0,text:description,,False,0.5,mixed,mixed,True,False,0.9984320998191833,0.0,0.6439329266548157,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000009,True,True,,False,False,FP,text:description|
embed_only_baseline,//comment,created_at,comment,created at,comment <-> created at,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.786412239074707,0.0,text:description,,False,1.0,mixed,mixed,True,False,0.9995693564414978,0.0,0.6144787669181824,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000010,True,True,,False,False,FP,text:description|
