mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,bridge_rule_applied,bridge_rule_name,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,is_in_true_pairs,is_in_negative_pairs,error_class,semantic_family,suggested_negative_pair
embed_only_baseline,//source,_comment,comment,source,comment <-> source,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.7163301706314087,0.0,,text:description,False,1.0,mixed,mixed,True,False,0.9999781847000122,0.0,0.5865277051925659,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000000,True,False,False,FP,text_or_comment,comment; source
embed_only_baseline,entity,_comment,comment,entity,comment <-> entity,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.691848874092102,0.0,,text:description,False,1.0,mixed,mixed,True,False,0.997715175151825,0.0,0.5762825846672058,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000002,True,False,False,FP,text_or_comment,comment; entity
embed_only_baseline,version,_comment,comment,version,comment <-> version,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.6505283117294312,0.0,,text:description,False,1.0,mixed,mixed,True,False,0.9868650436401367,0.0,0.5575843334197998,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000003,True,False,False,FP,text_or_comment,comment; version
embed_only_baseline,name,_comment,comment,name,comment <-> name,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.7174897789955139,0.0,party:name,text:description,False,1.0,mixed,mixed,True,False,0.9994105696678162,0.0,0.5868780255317688,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000004,True,False,False,FP,text_or_comment,comment; name
embed_only_baseline,type,_comment,comment,type,comment <-> type,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.7069449424743652,0.0,,text:description,False,1.0,mixed,mixed,True,False,0.9917209148406982,0.0,0.5811221599578857,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000005,True,False,False,FP,text_or_comment,comment; type
embed_only_baseline,pattern,_comment,comment,pattern,comment <-> pattern,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.6729740500450134,0.0,,text:description,False,1.0,mixed,mixed,True,False,0.9989314079284668,0.0,0.5689759016036988,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000007,True,False,False,FP,text_or_comment,comment; pattern
embed_only_baseline,tags,_comment,comment,tags,comment <-> tags,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.6791914105415344,0.0,,text:description,False,1.0,mixed,mixed,True,False,0.9989367723464966,0.0,0.5714639186859132,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000009,True,False,False,FP,text_or_comment,comment; tags
embed_only_baseline,created_at,_comment,comment,created at,comment <-> created at,Razorpay.json,UPI.json,Payments Risk,Payments Risk,0.6772251129150391,0.0,,text:description,False,1.0,^[+-]?[0-9]+(\.[0-9]+)?$,mixed,False,False,0.9953089952468872,0.0,0.46995184421539304,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000010,True,False,False,FP,text_or_comment,comment; created at
embed_only_baseline,_comment,currency,comment,currency,comment <-> currency,UPI.json,UPI.json,Payments Risk,Payments Risk,0.6732433438301086,0.0,text:description,payment:currency,False,0.047619047619047616,mixed,mixed,True,False,0.9819644093513489,0.0,0.5656902194023132,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000015,True,False,True,EXPLICIT_NEGATIVE_MERGE,text_or_comment,comment; currency
embed_only_baseline,_comment,txn_amount,comment,transaction amount,comment <-> transaction amount,UPI.json,UPI.json,Payments Risk,Payments Risk,0.6643720865249634,0.0,text:description,payment:amount,False,0.047619047619047616,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9873509407043457,0.0,0.4632190227508545,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000023,True,False,True,EXPLICIT_NEGATIVE_MERGE,text_or_comment,comment; transaction amount
