row_type,track,dropped_self_pairs,dropped_absent_pairs,original_pair_count,cleaned_pair_count,dropped_self_count,dropped_absent_count,pair_key,normalized_a,normalized_b,root_cause,gt_disagreement_type,gt_review_reason,gt_patch_suggestion
ground_truth_sanitization,both,account_number; acct_num; pan; primary_account_number; transaction_amount; txn_amount; ccy; currency; //comment; _comment; //comment; comment; _comment; comment; transaction_status; txn_status; transaction_id; txn_id; acct_num; account_number; pan; primary_account_number; transaction_amount; txn_amount; amount; amount; transaction_amount; transaction_amount; currency; ccy; currency; currency; comment; _comment; comment; //comment; comment; comment; created_at; created_at; status; status; transaction_id; txn_id; transaction_id; transaction_id; vpa; vpa,ccy; iso_currency_code; currency; iso_currency_code; //comment; description; //comment; memo; //comment; note; _comment; description; _comment; memo; _comment; note; comment; description; comment; memo; comment; note; description; memo; description; note; memo; note; currency; iso_currency_code; description; comment; description; _comment; description; //comment,69,8,24,18,,,,,,,
predicted_pair,production,,,,,,,amount :: amount,amount,amount,,,,
predicted_pair,production,,,,,,,amount :: instd_amount,amount,instd_amount,,,,
predicted_pair,production,,,,,,,amount :: transaction_amount,amount,transaction_amount,,,,
predicted_pair,production,,,,,,,card_holder_name :: cardholder,card_holder_name,cardholder,,,,
predicted_pair,production,,,,,,,card_verification_value :: verification_value,card_verification_value,verification_value,,,,
predicted_pair,production,,,,,,,created :: created_at,created,created_at,,,,
predicted_pair,production,,,,,,,currency :: currency,currency,currency,,,,
predicted_pair,production,,,,,,,expiration_date :: expiration_date,expiration_date,expiration_date,,,,
predicted_pair,production,,,,,,,instd_amount :: transaction_amount,instd_amount,transaction_amount,,,,
predicted_pair,production,,,,,,,method :: payment_method,method,payment_method,,,,
predicted_pair,production,,,,,,,primary_account_number :: primary_account_number,primary_account_number,primary_account_number,,,,
predicted_pair,production,,,,,,,status :: status,status,status,,,,
predicted_pair,production,,,,,,,status :: transaction_status,status,transaction_status,,,,
predicted_pair,production,,,,,,,transaction_amount :: transaction_amount,transaction_amount,transaction_amount,,,,
predicted_pair,production,,,,,,,virtual_payment_address :: virtual_payment_address,virtual_payment_address,virtual_payment_address,,,,
true_positive,production,,,,,,,amount :: instd_amount,amount,instd_amount,,,,
