AttributeA,AttributeB,DecisionType,Reason,CanonicalNode,Track,EvidenceScore,HardVetoes
INAmex.PrimaryAccountNumber,Mastercard.primary_account_number,HUMAN_REVIEW,cross-rail compatibility uncertain,card_primary_account_number,production,0.9553108415311572,
INAmex.CardVerificationValue,PPVisa.cvv,HUMAN_REVIEW,evidence margin below auto-merge threshold,card_verification_value,production,0.8411824490561535,
INAmex.CardHolderName,PPVisa.cardholder,HUMAN_REVIEW,evidence margin below auto-merge threshold,cardholder_name,production,0.7976478650941942,
ISO20022.instd_amt,Mastercard.transaction_amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.6897254248461442,
ISO20022.instd_amt,Plaid.transaction_amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.7168398467620309,
ISO20022.instd_amt,Razorpay.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.7261480470064934,
ISO20022.instd_amt,Stripe.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.7471157205296945,
ISO20022.instd_amt,UPI.txn_amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.7061125538566522,
ISO20022.currency,Plaid.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,production,0.9999999999996501,
ISO20022.currency,Razorpay.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,production,0.9925752851232074,
ISO20022.currency,Stripe.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,production,0.9925752851232074,
ISO20022.currency,UPI.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,production,0.9925752851232074,
Mastercard.primary_account_number,PPVisa.pan,HUMAN_REVIEW,cross-rail compatibility uncertain,card_primary_account_number,production,0.9581307229002273,
Mastercard.transaction_amount,Plaid.transaction_amount,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_amount,production,0.9527492476906001,
Mastercard.transaction_amount,Razorpay.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.7622240161773646,
Mastercard.transaction_amount,Stripe.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.7585153865487431,
Mastercard.transaction_amount,UPI.txn_amount,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_amount,production,0.9244891836421402,
Plaid.currency,Razorpay.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,production,0.9425752851232074,
Plaid.currency,Stripe.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,production,0.9425752851232074,
Plaid.currency,UPI.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,production,0.9425752851232074,
Plaid.transaction_amount,Razorpay.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.7871530594216946,
