payment_type,field,normalized_field,count,total_payloads,presence_ratio,presence_class,observed_type,regex,shape,distinct_count,examples
INAmex,CardHolderName,card_holder_name,8,8,8/8,required_candidate,string,mixed,A4S1A3:1;A4S1A4:3;A5S1A4:1;A5S1A5:1;A5S1A6:1;A6S1A5:1,8,Asha Rao; Ravi Iyer; Pooja Mehta
INAmex,CardVerificationValue,card_verification_value,8,8,8/8,required_candidate,number_string,"[0-9]{3,4}$",D3:8,8,173; 246; 319
INAmex,ExpirationDate,expiration_date,8,8,8/8,required_candidate,string,mixed,D2P1D2:8,8,02/29; 03/30; 04/31
INAmex,PrimaryAccountNumber,primary_account_number,8,8,8/8,required_candidate,number_string,"[0-9]{12,19}$",D15:8,8,379000000113791; 379000000127582; 379000000141373
ISO20022,cdtr_acct,creditor_account,8,8,8/8,required_candidate,string,mixed,A2D2A5D4A4:8,8,FR76SYNTH0001CDTR; FR76SYNTH0002CDTR; FR76SYNTH0003CDTR
ISO20022,cdtr_nm,creditor_name,8,8,8/8,required_candidate,string,mixed,A10S1A3:1;A11S1A3:1;A5S1A3:1;A6S1A3:1;A8S1A3:2;A9S1A3:2,8,BookMyShow Ltd; IRCTC Ltd; Swiggy Ltd
ISO20022,currency,currency,8,8,8/8,required_candidate,string,[A-Z]{3}$,A3:8,3,INR; USD; EUR
ISO20022,dbtr_acct,debtor_account,8,8,8/8,required_candidate,string,mixed,A2D2A5D4A4:8,8,DE89SYNTH0001DBTR; DE89SYNTH0002DBTR; DE89SYNTH0003DBTR
ISO20022,dbtr_nm,debtor_name,8,8,8/8,required_candidate,string,mixed,A4S1A3:1;A4S1A4:3;A5S1A4:1;A5S1A5:1;A5S1A6:1;A6S1A5:1,8,Pooja Mehta; Kiran Khan; Neha Iyer
ISO20022,end_to_end_id,end_to_end_identifier,8,8,8/8,required_candidate,string,mixed,A1D1A1D8:8,8,E2E85000107; E2E85000214; E2E85000321
ISO20022,instd_amt,instructed_amount,8,8,8/8,required_candidate,number_string,[-+]?[0-9]+(\.[0-9]+)?$,D4P1D2:8,8,2637.27; 2974.34; 3311.41
ISO20022,msg_id,msg_identifier,8,8,8/8,required_candidate,string,mixed,A3D8A3:8,8,MSG20260001ABC; MSG20260002ABC; MSG20260003ABC
ISO20022,reqd_exctn_dt,reqd_exctn_dt,8,8,8/8,required_candidate,string,\d{4}-\d{2}-\d{2}$,D4P1D2P1D2:8,8,2026-02-07; 2026-02-10; 2026-02-13
Mastercard,card_acceptor_id,card_acceptor_identifier,8,8,8/8,required_candidate,string,mixed,A5D4:8,8,MCACQ3001; MCACQ3002; MCACQ3003
Mastercard,merchant_category_code,merchant_category_code,8,8,8/8,required_candidate,number_string,"[0-9]{3,4}$",D4:8,8,5401; 5402; 5403
Mastercard,primary_account_number,primary_account_number,8,8,8/8,required_candidate,number_string,"[0-9]{12,19}$",D16:8,8,5490500137910000; 5490500275820000; 5490500413730000
Mastercard,processing_code,processing_code,8,8,8/8,required_candidate,number_string,[-+]?[0-9]+(\.[0-9]+)?$,D6:8,2,000000; 200000; 000000
Mastercard,system_trace_audit_number,system_trace_audit_number,8,8,8/8,required_candidate,number_string,[-+]?[0-9]+(\.[0-9]+)?$,D6:8,8,200937; 201874; 202811
Mastercard,transaction_amount,transaction_amount,8,8,8/8,required_candidate,number_string,[-+]?[0-9]+(\.[0-9]+)?$,D4P1D2:8,8,1837.27; 2174.34; 2511.41
Mastercard,transmission_datetime,transmission_datetime,8,8,8/8,required_candidate,number_string,[-+]?[0-9]+(\.[0-9]+)?$,D10:8,8,0211091121; 0212101222; 0213111323
PPVisa,cardholder,cardholder,8,8,8/8,required_candidate,string,mixed,A4S1A3:1;A4S1A4:3;A5S1A4:1;A5S1A5:1;A5S1A6:1;A6S1A5:1,8,Ravi Iyer; Pooja Mehta; Kiran Khan
