DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes,PromotionRule,AuditFlags,CMNFMatrixApplied
dec::v18::inamex_primary_account_number::mastercard_primary_account_number::production,INAmex.PrimaryAccountNumber,Mastercard.primary_account_number,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.9424,min_ev=0.9",MERGE_BY_CMNF_MATRIX,card_primary_account_number,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,0.9423870794878167,0.8353916556794763,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,card_primary_account_number
dec::v18::inamex_primary_account_number::ppvisa_primary_account_number::production,INAmex.PrimaryAccountNumber,PPVisa.pan,production,ACCEPT_MERGE,"same_canon_same_family:score=0.8869,tau=0.72",MERGE_BY_CANONICAL_FAMILY,card_primary_account_number,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,0.8869325895797866,0.6769502559422473,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,card_primary_account_number
dec::v18::mastercard_primary_account_number::ppvisa_primary_account_number::production,Mastercard.primary_account_number,PPVisa.pan,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.9084,min_ev=0.9",MERGE_BY_CMNF_MATRIX,card_primary_account_number,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,0.9083613140256566,0.7381751829304473,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,card_primary_account_number
dec::v18::inamex_expiration_date::ppvisa_expiration_date::production,INAmex.ExpirationDate,PPVisa.exp,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.8940,min_ev=0.85",MERGE_BY_CMNF_MATRIX,card_expiration_date,payment_card:expiration_date,payment_card:expiration_date,card_validity,card_validity,0.893962160821743,0.6970347452049799,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,card_expiration_date
dec::v18::inamex_card_verification_value::ppvisa_verification_value::production,INAmex.CardVerificationValue,PPVisa.cvv,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.8109,min_ev=0.8",MERGE_BY_CMNF_MATRIX,card_verification_value,payment_card:verification_value,payment_card:verification_value,sensitive_authentication_data,sensitive_authentication_data,0.810905888569577,0.6502073006749818,0.6666666666666666,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,card_verification_value
dec::v18::inamex_card_holder_name::ppvisa_cardholder::production,INAmex.CardHolderName,PPVisa.cardholder,production,ACCEPT_MERGE,alias_hit_promotion:score=0.6822,MERGE_BY_ALIAS,cardholder_name,party:cardholder_name,party:cardholder_name,cardholder,cardholder,0.6822430267510532,0.6635515050030092,0.0,3,PASS,PASS,PASS,PASS,PASS,PASS,,alias_overlap_promotion,,cardholder_name
dec::v18::iso20022_instructed_amount::mastercard_transaction_amount::production,ISO20022.instd_amt,Mastercard.transaction_amount,production,ACCEPT_MERGE,alias_hit_promotion:score=0.6750,MERGE_BY_ALIAS,payment_amount,payment:amount,payment:amount,instructed_amount,transaction_amount,0.6749932882155116,0.45236177585384285,0.3333333333333333,3,PASS,PASS,PASS,PASS,PASS,PASS,,alias_overlap_promotion,,payment_amount
dec::v18::iso20022_instructed_amount::plaid_transaction_amount::production,ISO20022.instd_amt,Plaid.transaction_amount,production,ACCEPT_MERGE,alias_hit_promotion:score=0.6634,MERGE_BY_ALIAS,payment_amount,payment:amount,payment:amount,instructed_amount,transaction_amount,0.663439820528296,0.4193518681760837,0.3333333333333333,3,PASS,PASS,PASS,PASS,PASS,PASS,,alias_overlap_promotion,,payment_amount
dec::v18::iso20022_instructed_amount::razorpay_amount::production,ISO20022.instd_amt,Razorpay.amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.7008,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,instructed_amount,payment_amount_minor_units,0.7007846893768079,0.430813398219451,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
dec::v18::iso20022_instructed_amount::stripe_amount::production,ISO20022.instd_amt,Stripe.amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.7059,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,instructed_amount,payment_amount_minor_units,0.7058571413937634,0.44530611826789546,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
