metric,value
candidate_generation_ms,100.38120000064373
candidate_pair_count,98
candidate_backend_requested,auto
candidate_backend_used,hnsw
hnsw_available,True
canonical_first_enabled,True
effective_comparisons,98
total_runtime_ms,23452.06730000116
embedding_backend,sentence-transformers
dbnf_mode,version_drift
dbnf_mean_cosine_shift,0.269422
dbnf_max_cosine_shift,0.564628
dbnf_detected_drift_count,44
dbnf_tau,0.166831
dbnf_tau_source,adaptive
dbnf_attribute_count,61
dbnf_drift_type,simulated_context_perturbation
dbnf_saturation_flag,False
dbnf_saturation_rate,0.7213
dbnf_saturation_note,
eenf_mode,not_evaluated
