fn_id,source_field,target_field,semantic_score,context_signature,model_reason,human_decision (ACCEPT/REJECT/HOLD),human_comments,record_type,DecisionType,CanonicalNode,Track,EvidenceScore,EmbeddingSimilarity,NameSimilarity,HardVetoes,PromotionRule,AuditFlags,ExpectedSchemaTruth(bool)
TP_0001,INAmex.CardHolderName,PPVisa.cardholder,0.7166246277195243,,alias_hit_promotion:score=0.7166,,,TP,ACCEPT_MERGE,cardholder_name,discovery,0.7166246277195243,0.7617846506272123,0.0,,alias_overlap_promotion,,True
TP_0002,INAmex.CardHolderName,PPVisa.cardholder,0.7166246277195243,,alias_hit_promotion:score=0.7166,,,TP,ACCEPT_MERGE,cardholder_name,production,0.7166246277195243,0.7617846506272123,0.0,,alias_overlap_promotion,,True
TP_0003,INAmex.CardVerificationValue,PPVisa.cvv,0.831333725300228,,"cmnf_canonical_safe:score=0.8313,min_ev=0.8",,,TP,ACCEPT_MERGE,card_verification_value,discovery,0.831333725300228,0.7085725484768418,0.6666666666666666,,cmnf_canonical_safe_promotion,,True
TP_0004,INAmex.CardVerificationValue,PPVisa.cvv,0.831333725300228,,"cmnf_canonical_safe:score=0.8313,min_ev=0.8",,,TP,ACCEPT_MERGE,card_verification_value,production,0.831333725300228,0.7085725484768418,0.6666666666666666,,cmnf_canonical_safe_promotion,,True
TP_0005,INAmex.ExpirationDate,PPVisa.exp,0.9047252838016643,,"cmnf_canonical_safe:score=0.9047,min_ev=0.85",,,TP,ACCEPT_MERGE,card_expiration_date,discovery,0.9047252838016643,0.727786525147612,1.0,,cmnf_canonical_safe_promotion,,True
TP_0006,INAmex.ExpirationDate,PPVisa.exp,0.9047252838016643,,"cmnf_canonical_safe:score=0.9047,min_ev=0.85",,,TP,ACCEPT_MERGE,card_expiration_date,production,0.9047252838016643,0.727786525147612,1.0,,cmnf_canonical_safe_promotion,,True
TP_0007,INAmex.PrimaryAccountNumber,Mastercard.primary_account_number,0.9327086247185132,,"cmnf_canonical_safe:score=0.9327,min_ev=0.9",,,TP,ACCEPT_MERGE,card_primary_account_number,discovery,0.9327086247185132,0.8077389277671805,1.0,,cmnf_canonical_safe_promotion,,True
TP_0008,INAmex.PrimaryAccountNumber,Mastercard.primary_account_number,0.9327086247185132,,"cmnf_canonical_safe:score=0.9327,min_ev=0.9",,,TP,ACCEPT_MERGE,card_primary_account_number,production,0.9327086247185132,0.8077389277671805,1.0,,cmnf_canonical_safe_promotion,,True
TP_0009,INAmex.PrimaryAccountNumber,PPVisa.pan,0.9052246579991008,,"cmnf_canonical_safe:score=0.9052,min_ev=0.9",,,TP,ACCEPT_MERGE,card_primary_account_number,discovery,0.9052246579991008,0.7292133085688594,1.0,,cmnf_canonical_safe_promotion,,True
TP_0010,INAmex.PrimaryAccountNumber,PPVisa.pan,0.9052246579991008,,"cmnf_canonical_safe:score=0.9052,min_ev=0.9",,,TP,ACCEPT_MERGE,card_primary_account_number,production,0.9052246579991008,0.7292133085688594,1.0,,cmnf_canonical_safe_promotion,,True
