metric,value
candidate_generation_ms,97.98469999991357
candidate_pair_count,95
candidate_backend_requested,auto
candidate_backend_used,hnsw
hnsw_available,True
canonical_first_enabled,True
effective_comparisons,95
total_runtime_ms,26060.329099999974
embedding_backend,sentence-transformers
dbnf_mode,version_drift
dbnf_mean_cosine_shift,0.268904
dbnf_max_cosine_shift,0.478863
dbnf_detected_drift_count,39
dbnf_tau,0.230489
dbnf_tau_source,adaptive
dbnf_attribute_count,61
dbnf_drift_type,simulated_context_perturbation
dbnf_saturation_flag,False
dbnf_saturation_rate,0.6393
dbnf_saturation_note,
eenf_mode,not_evaluated
