DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes,PromotionRule,AuditFlags,CMNFMatrixApplied
dec::v18::inamex_primary_account_number::mastercard_primary_account_number::production,INAmex.PrimaryAccountNumber,Mastercard.primary_account_number,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.9327,min_ev=0.9",MERGE_BY_CMNF_MATRIX,card_primary_account_number,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,0.9327086247185132,0.8077389277671805,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,card_primary_account_number
dec::v18::inamex_primary_account_number::ppvisa_primary_account_number::production,INAmex.PrimaryAccountNumber,PPVisa.pan,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.9052,min_ev=0.9",MERGE_BY_CMNF_MATRIX,card_primary_account_number,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,0.9052246579991008,0.7292133085688594,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,card_primary_account_number
dec::v18::mastercard_primary_account_number::ppvisa_primary_account_number::production,Mastercard.primary_account_number,PPVisa.pan,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.9191,min_ev=0.9",MERGE_BY_CMNF_MATRIX,card_primary_account_number,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,0.9190765293621451,0.7687900838918432,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,card_primary_account_number
dec::v18::inamex_expiration_date::ppvisa_expiration_date::production,INAmex.ExpirationDate,PPVisa.exp,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.9047,min_ev=0.85",MERGE_BY_CMNF_MATRIX,card_expiration_date,payment_card:expiration_date,payment_card:expiration_date,card_validity,card_validity,0.9047252838016643,0.727786525147612,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,card_expiration_date
dec::v18::inamex_card_verification_value::ppvisa_verification_value::production,INAmex.CardVerificationValue,PPVisa.cvv,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.8313,min_ev=0.8",MERGE_BY_CMNF_MATRIX,card_verification_value,payment_card:verification_value,payment_card:verification_value,sensitive_authentication_data,sensitive_authentication_data,0.831333725300228,0.7085725484768418,0.6666666666666666,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,card_verification_value
dec::v18::inamex_card_holder_name::ppvisa_cardholder::production,INAmex.CardHolderName,PPVisa.cardholder,production,ACCEPT_MERGE,alias_hit_promotion:score=0.7166,MERGE_BY_ALIAS,cardholder_name,party:cardholder_name,party:cardholder_name,cardholder,cardholder,0.7166246277195243,0.7617846506272123,0.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,alias_overlap_promotion,,cardholder_name
dec::v18::iso20022_instructed_amount::mastercard_transaction_amount::production,ISO20022.instd_amt,Mastercard.transaction_amount,production,ACCEPT_MERGE,alias_hit_promotion:score=0.6794,MERGE_BY_ALIAS,payment_amount,payment:amount,payment:amount,instructed_amount,transaction_amount,0.6793792915161835,0.46489321385576227,0.3333333333333333,3,PASS,PASS,PASS,PASS,PASS,PASS,,alias_overlap_promotion,,payment_amount
dec::v18::iso20022_instructed_amount::plaid_transaction_amount::production,ISO20022.instd_amt,Plaid.transaction_amount,production,ACCEPT_MERGE,alias_hit_promotion:score=0.6644,MERGE_BY_ALIAS,payment_amount,payment:amount,payment:amount,instructed_amount,transaction_amount,0.6644449246295542,0.42222359417967864,0.3333333333333333,3,PASS,PASS,PASS,PASS,PASS,PASS,,alias_overlap_promotion,,payment_amount
dec::v18::iso20022_instructed_amount::razorpay_amount::production,ISO20022.instd_amt,Razorpay.amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.7420,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,instructed_amount,payment_amount_minor_units,0.7420212662040127,0.5486321891543218,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
dec::v18::iso20022_instructed_amount::stripe_amount::production,ISO20022.instd_amt,Stripe.amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.7050,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,instructed_amount,payment_amount_minor_units,0.7050380376197866,0.4429658217708188,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
