record_type,file,payment_type,status,schema_id,rail,attribute_count
schema_ingestion,data\INAmex.schema.json,INAmex,OK,INAmex_CardPayment_v15,card_payment,4
schema_ingestion,data\ISO20022.schema.json,ISO20022,OK,ISO20022_pacs008_CreditTransfer_v15,account_to_account_credit_transfer,9
schema_ingestion,data\Mastercard.schema.json,Mastercard,OK,Mastercard_ISO8583_CardAuthorization_v15,card_network_iso8583,7
schema_ingestion,data\Plaid.schema.json,Plaid,OK,Plaid_AuthTransactions_v15,open_banking,9
schema_ingestion,data\PPVisa.schema.json,PPVisa,OK,PPVisa_CardPayload_Inferred_v15,card_payment,5
schema_ingestion,data\Razorpay.schema.json,Razorpay,OK,Razorpay_PaymentEntity_v15,psp_gateway,10
schema_ingestion,data\Stripe.schema.json,Stripe,OK,Stripe_PaymentIntent_v15,psp_gateway,9
schema_ingestion,data\UPI.schema.json,UPI,OK,NPCI_UPI_ReqPay_Inferred_v15,upi,8
payload_ingestion,payloads\payment\INAmex\INAmex_payload_01.json,INAmex,OK,,,
payload_ingestion,payloads\payment\INAmex\INAmex_payload_02.json,INAmex,OK,,,
payload_ingestion,payloads\payment\INAmex\INAmex_payload_03.json,INAmex,OK,,,
payload_ingestion,payloads\payment\INAmex\INAmex_payload_04.json,INAmex,OK,,,
payload_ingestion,payloads\payment\INAmex\INAmex_payload_05.json,INAmex,OK,,,
payload_ingestion,payloads\payment\INAmex\INAmex_payload_06.json,INAmex,OK,,,
payload_ingestion,payloads\payment\INAmex\INAmex_payload_07.json,INAmex,OK,,,
payload_ingestion,payloads\payment\INAmex\INAmex_payload_08.json,INAmex,OK,,,
payload_ingestion,payloads\payment\ISO20022\ISO20022_payload_01.json,ISO20022,OK,,,
payload_ingestion,payloads\payment\ISO20022\ISO20022_payload_02.json,ISO20022,OK,,,
payload_ingestion,payloads\payment\ISO20022\ISO20022_payload_03.json,ISO20022,OK,,,
payload_ingestion,payloads\payment\ISO20022\ISO20022_payload_04.json,ISO20022,OK,,,
payload_ingestion,payloads\payment\ISO20022\ISO20022_payload_05.json,ISO20022,OK,,,
payload_ingestion,payloads\payment\ISO20022\ISO20022_payload_06.json,ISO20022,OK,,,
payload_ingestion,payloads\payment\ISO20022\ISO20022_payload_07.json,ISO20022,OK,,,
payload_ingestion,payloads\payment\ISO20022\ISO20022_payload_08.json,ISO20022,OK,,,
payload_ingestion,payloads\payment\Mastercard\Mastercard_payload_01.json,Mastercard,OK,,,
payload_ingestion,payloads\payment\Mastercard\Mastercard_payload_02.json,Mastercard,OK,,,
payload_ingestion,payloads\payment\Mastercard\Mastercard_payload_03.json,Mastercard,OK,,,
payload_ingestion,payloads\payment\Mastercard\Mastercard_payload_04.json,Mastercard,OK,,,
payload_ingestion,payloads\payment\Mastercard\Mastercard_payload_05.json,Mastercard,OK,,,
payload_ingestion,payloads\payment\Mastercard\Mastercard_payload_06.json,Mastercard,OK,,,
payload_ingestion,payloads\payment\Mastercard\Mastercard_payload_07.json,Mastercard,OK,,,
payload_ingestion,payloads\payment\Mastercard\Mastercard_payload_08.json,Mastercard,OK,,,
payload_ingestion,payloads\payment\Plaid\Plaid_payload_01.json,Plaid,OK,,,
payload_ingestion,payloads\payment\Plaid\Plaid_payload_02.json,Plaid,OK,,,
payload_ingestion,payloads\payment\Plaid\Plaid_payload_03.json,Plaid,OK,,,
payload_ingestion,payloads\payment\Plaid\Plaid_payload_04.json,Plaid,OK,,,
payload_ingestion,payloads\payment\Plaid\Plaid_payload_05.json,Plaid,OK,,,
payload_ingestion,payloads\payment\Plaid\Plaid_payload_06.json,Plaid,OK,,,
payload_ingestion,payloads\payment\Plaid\Plaid_payload_07.json,Plaid,OK,,,
payload_ingestion,payloads\payment\Plaid\Plaid_payload_08.json,Plaid,OK,,,
payload_ingestion,payloads\payment\PPVisa\PPVisa_payload_01.json,PPVisa,OK,,,
payload_ingestion,payloads\payment\PPVisa\PPVisa_payload_02.json,PPVisa,OK,,,
payload_ingestion,payloads\payment\PPVisa\PPVisa_payload_03.json,PPVisa,OK,,,
payload_ingestion,payloads\payment\PPVisa\PPVisa_payload_04.json,PPVisa,OK,,,
payload_ingestion,payloads\payment\PPVisa\PPVisa_payload_05.json,PPVisa,OK,,,
payload_ingestion,payloads\payment\PPVisa\PPVisa_payload_06.json,PPVisa,OK,,,
payload_ingestion,payloads\payment\PPVisa\PPVisa_payload_07.json,PPVisa,OK,,,
payload_ingestion,payloads\payment\PPVisa\PPVisa_payload_08.json,PPVisa,OK,,,
payload_ingestion,payloads\payment\Razorpay\Razorpay_payload_01.json,Razorpay,OK,,,
payload_ingestion,payloads\payment\Razorpay\Razorpay_payload_02.json,Razorpay,OK,,,
payload_ingestion,payloads\payment\Razorpay\Razorpay_payload_03.json,Razorpay,OK,,,
payload_ingestion,payloads\payment\Razorpay\Razorpay_payload_04.json,Razorpay,OK,,,
payload_ingestion,payloads\payment\Razorpay\Razorpay_payload_05.json,Razorpay,OK,,,
payload_ingestion,payloads\payment\Razorpay\Razorpay_payload_06.json,Razorpay,OK,,,
payload_ingestion,payloads\payment\Razorpay\Razorpay_payload_07.json,Razorpay,OK,,,
payload_ingestion,payloads\payment\Razorpay\Razorpay_payload_08.json,Razorpay,OK,,,
payload_ingestion,payloads\payment\Stripe\Stripe_payload_01.json,Stripe,OK,,,
payload_ingestion,payloads\payment\Stripe\Stripe_payload_02.json,Stripe,OK,,,
payload_ingestion,payloads\payment\Stripe\Stripe_payload_03.json,Stripe,OK,,,
payload_ingestion,payloads\payment\Stripe\Stripe_payload_04.json,Stripe,OK,,,
payload_ingestion,payloads\payment\Stripe\Stripe_payload_05.json,Stripe,OK,,,
payload_ingestion,payloads\payment\Stripe\Stripe_payload_06.json,Stripe,OK,,,
payload_ingestion,payloads\payment\Stripe\Stripe_payload_07.json,Stripe,OK,,,
payload_ingestion,payloads\payment\Stripe\Stripe_payload_08.json,Stripe,OK,,,
payload_ingestion,payloads\payment\UPI\UPI_payload_01.json,UPI,OK,,,
payload_ingestion,payloads\payment\UPI\UPI_payload_02.json,UPI,OK,,,
payload_ingestion,payloads\payment\UPI\UPI_payload_03.json,UPI,OK,,,
payload_ingestion,payloads\payment\UPI\UPI_payload_04.json,UPI,OK,,,
payload_ingestion,payloads\payment\UPI\UPI_payload_05.json,UPI,OK,,,
payload_ingestion,payloads\payment\UPI\UPI_payload_06.json,UPI,OK,,,
payload_ingestion,payloads\payment\UPI\UPI_payload_07.json,UPI,OK,,,
payload_ingestion,payloads\payment\UPI\UPI_payload_08.json,UPI,OK,,,
