srs_node_id,canonical_attribute,members,lineage_action
SRS-v13-0000,account identifier,account identifier,NEW
SRS-v13-0001,account number,account number; primary account number,NEW
SRS-v13-0002,account type,account type,NEW
SRS-v13-0003,aliases,aliases,NEW
SRS-v13-0004,amount,amount; instd amount; transaction amount,NEW
SRS-v13-0005,balance current,balance current,NEW
SRS-v13-0006,card acceptor identifier,card acceptor identifier; customer identifier; end to end identifier; method; msg identifier; payment intent identifier; payment method; razorpay payment identifier; schema identifier; transaction identifier,NEW
SRS-v13-0007,card brand,card brand,NEW
SRS-v13-0008,card last4,card last4,NEW
SRS-v13-0009,cardholder,cardholder,NEW
SRS-v13-0010,comment,comment; description,NEW
SRS-v13-0011,contact,contact,NEW
SRS-v13-0012,created,created,NEW
SRS-v13-0013,created at,created at,NEW
SRS-v13-0014,creditor account,creditor account,NEW
SRS-v13-0015,creditor name,creditor name,NEW
SRS-v13-0016,currency,currency,NEW
SRS-v13-0017,cvv,cvv,NEW
SRS-v13-0018,debtor account,debtor account,NEW
SRS-v13-0019,debtor name,debtor name,NEW
SRS-v13-0020,email,email,NEW
SRS-v13-0021,entity,entity,NEW
SRS-v13-0022,exp,exp,NEW
SRS-v13-0023,issuer,issuer,NEW
SRS-v13-0024,merchant category code,merchant category code,NEW
SRS-v13-0025,name,name,NEW
SRS-v13-0026,pattern,pattern,NEW
SRS-v13-0027,payee vpa,payee vpa; vpa,NEW
SRS-v13-0028,payer account,payer account,NEW
SRS-v13-0029,processing code,processing code,NEW
SRS-v13-0030,razorpay order identifier,razorpay order identifier,NEW
SRS-v13-0031,reqd exctn dt,reqd exctn dt,NEW
SRS-v13-0032,routing number,routing number,NEW
SRS-v13-0033,source,source,NEW
SRS-v13-0034,status,status,NEW
SRS-v13-0035,system trace audit number,system trace audit number,NEW
SRS-v13-0036,tags,tags,NEW
SRS-v13-0037,transaction date,transaction date,NEW
SRS-v13-0038,transaction status,transaction status; transaction timestamp,NEW
SRS-v13-0039,transmission datetime,transmission datetime,NEW
SRS-v13-0040,type,type,NEW
SRS-v13-0041,version,version,NEW
